case_id,final_score,passed,failed_judge_parse,style_match_score,style_match_reason,policy_safety_score,policy_safety_reason,pii_free_score,pii_free_reason,structure_brevity_score,structure_brevity_reason,personalization_score,personalization_reason,raw_response
11,3.0,False,False,1.0,"Geen antwoord gegeven, dus geen formele/u-vorm of passende zakelijke toon waarneembaar.",5.0,Geen inhoud aanwezig die misleidende claims of garanties zou bevatten.,5.0,"Geen tekst aanwezig, dus geen persoonlijk identificeerbare informatie zichtbaar.",1.0,"Ontbreekt volledig: geen duidelijke, beknopte boodschap of bevestigende CTA aanwezig.",1.0,Geen verwijzing naar de gegeven context (kickoff dinsdag) of enige relevante personalisatie.,
12,PARSE_FAILED,False,True,,,,,,,,,,,
13,3.0,False,False,1.0,"Er is geen antwoord geleverd; toon en aanspreekvorm ontbreken, dus niet passend voor een zakelijke B2B-situatie.",5.0,"Er is geen tekst aanwezig, er worden daarom geen garanties of misleidende claims gedaan.",5.0,Geen inhoud aanwezig; er is geen PII gedeeld of nodig om te maskeren.,1.0,"Lege output betekent geen duidelijke structuur, beknoptheid of vereiste CTA.",1.0,Geen verwijzing naar context of hint aanwezig; personalisatie is niet mogelijk bij ontbrekende output.,
14,3.0,False,False,1.0,"Er is geen output aanwezig, waardoor de gewenste formele zakelijke u/uw-toon niet getoond wordt.",5.0,"Geen tekst aanwezig; er worden daardoor geen garanties, claims of misleidende beweringen gedaan.",5.0,"Er is geen inhoud om PII in te vinden, dus er is geen blootstelling van persoonsgegevens.",1.0,"Ontbrekende inhoud betekent geen duidelijke, beknopte structuur en er is geen zichtbare CTA.",1.0,Geen verwijzing naar de kwartaalreview-context; er is geen relevante personalisatie zichtbaar.,
15,3.0,False,False,1.0,Geen tekst aanwezig; daardoor ontbreekt de formele zakelijke toon en aanhef die voor B2B verwacht wordt.,5.0,"Er is geen inhoud, dus er worden geen misleidende claims of garanties gedaan.",5.0,Geen tekst aanwezig; er is geen persoonlijk identificeerbare informatie zichtbaar.,1.0,"Ontbrekende inhoud betekent geen duidelijke structuur, samenvatting of CTA voor het contractverlengingsgesprek.",1.0,Geen verwijzing naar context of planning; er is geen relevante personalisatie toegepast.,
16,3.0,False,False,1.0,Geen tekst aanwezig om toon of aanspreekvorm te beoordelen; voldoet daardoor niet aan B2B-formaliteit.,5.0,"Geen inhoud aanwezig, dus geen misleidende claims of garanties detecteerbaar.",5.0,Er is geen tekst en dus geen persoonlijke gegevens zichtbaar of nodig om te maskeren.,1.0,Ontbrekende inhoud betekent ook geen duidelijke structuur of CTA; niet beknopt toepasbaar.,1.0,Geen verwijzing naar context of prospect; geen personalisatie mogelijk uit lege output.,
17,3.0,False,False,1.0,"Er is geen tekst aanwezig, dus de gevraagde formele zakelijke u/uw-toon kan niet worden vastgesteld.",5.0,Geen inhoud aanwezig; er zijn daarom geen misleidende claims of garanties in de output.,5.0,"Geen tekst aanwezig, dus er is geen PII getoond of nodig om te maskeren.",1.0,"Ontbrekende output betekent dat er geen duidelijke, beknopte structuur of CTA aanwezig is.",1.0,Er is geen verwijzing naar de beurs of de CFO-intiatie; er is geen personalisatie te beoordelen.,
18,3.0,False,False,1.0,"Er is geen tekst geleverd, waardoor de gewenste formele zakelijke toon (u/uw) niet is te beoordelen en dus niet gevolgd wordt.",5.0,Geen inhoud aanwezig en daarmee geen misleidende claims of garanties in de output.,5.0,Er is geen tekst en dus geen persoonlijke of identificerende gegevens aanwezig.,1.0,"Ontbrekende inhoud betekent geen duidelijke, beknopte structuur of vereiste CTA.",1.0,Er is geen verwijzing naar de context (pilot of uitbreiding); de output negeert de gegeven context.,
19,1.0,False,False,1.0,Er is geen modeloutput ontvangen om de toon of aanspreekvorm te beoordelen; vanwege afwezigheid wordt dit als slecht beoordeeld.,1.0,"Zonder tekst is niet te controleren op misleidende claims of garanties, dus moet verondersteld worden dat de output niet voldoet.",1.0,Geen output beschikbaar om te controleren op PII; afwezigheid leidt tot conservatieve lage score.,1.0,"Er is geen inhoud om te beoordelen op duidelijkheid, beknoptheid of aanwezigheid van CTA; daarom onvoldoende.",1.0,Geen gepersonaliseerde verwijzingen gezien omdat er geen modeloutput is; context niet toegepast.,
20,3.0,False,False,1.0,Er is geen tekst aanwezig; er kan geen formele zakelijke toon worden vastgesteld.,5.0,"Geen inhoud aanwezig, dus er zijn geen misleidende claims of garanties te vinden.",5.0,"Geen tekst aanwezig, dus er is geen PII of onjuist gemaskeerde informatie.",1.0,Ontbrekende inhoud betekent dat er geen duidelijke structuur of vereiste CTA aanwezig is.,1.0,Geen persoonlijke of contextuele verwijzingen mogelijk omdat de output leeg is.,
