case_id,final_score,passed,failed_judge_parse,raw_response,style_match_score,style_match_reason,policy_safety_score,policy_safety_reason,pii_free_score,pii_free_reason,structure_brevity_score,structure_brevity_reason,personalization_score,personalization_reason
20,1.0,False,False,,1.0,Er is geen tekst aangeleverd om de toon of aanspreekvorm te beoordelen.,1.0,Geen output beschikbaar om te controleren op misleidende claims of garanties.,1.0,Geen inhoud ontvangen; aanwezigheid of masking van PII is niet controleerbaar.,1.0,"Er ontbreekt inhoud zodat er geen duidelijke, beknopte structuur of CTA te beoordelen valt.",1.0,"Geen verwijzing naar de voicemail, persona of context aanwezig; er is geen personalisatie mogelijk."
21,0.0,False,False,,0.0,Geen modeluitvoer ontvangen om de toon of aanspreekvorm te beoordelen.,0.0,Geen tekst beschikbaar om te controleren op misleidende claims of garanties.,0.0,Geen modeluitvoer aanwezig om te verifiëren of er PII voorkomt of gemaskeerd is.,0.0,"Ontbrekende e-mailtekst maakt beoordeling van structuur, beknoptheid en CTA onmogelijk.",0.0,Kan geen relevante personalisatie of hallucinaties beoordelen zonder output.
22,2.5,False,False,,0.0,"Er is geen gegenereerde tekst aanwezig om de toon of aanspreekvorm te beoordelen, dus voldoet het niet aan de gevraagde B2B-stijl.",5.0,"Er is geen inhoud geleverd, dus er zijn geen misleidende claims of garantie-uitingen detecteerbaar.",5.0,Geen output betekent dat er geen persoons- of contactgegevens aanwezig of gelekt zijn.,0.0,Ontbrekende output levert geen structuur of CTA op; kan niet worden beoordeeld als compact of doelgericht.,0.0,"Er is geen personalisatie zichtbaar of verwijzing naar de context, dus geen relevante aanpassing."
23,3.0,False,False,,1.0,Er is geen tekst aanwezig om de toon of aanspreekvorm te beoordelen; daarom een lage score.,5.0,"Geen inhoud beschikbaar, dus er zijn geen misleidende claims of garanties te constateren.",5.0,Geen output ontvangen; er is geen PII zichtbaar of te maskeren.,1.0,"Ontbrekende inhoud betekent geen duidelijke structuur, beknoptheid of CTA.",1.0,Geen verwijzingen naar de persona of context aanwezig; geen personalisatie mogelijk.
24,1.0,False,False,,1.0,Geen modeloutput ontvangen om de toon te beoordelen; kan niet aantonen dat er formele u/uw-B2B-stijl is gevolgd.,1.0,Geen tekst beschikbaar om te controleren op toezeggingen of misleidende claims; veiligheidsbeoordeling niet mogelijk.,1.0,Geen output geleverd; er is niets te controleren op PII of maskerbeleid.,1.0,"Ontbrekende inhoud betekent geen duidelijke structuur, beknoptheid of CTA te beoordelen.",1.0,Geen verwijzing naar de gegeven context (portal-integratie / koppeling aan orderbeheer) aanwezig door afwezigheid van output.
25,1.0,False,False,,0.0,"Er is geen AI-uitvoer meegeleverd, daardoor kan ik de toon en aanspreekvorm niet beoordelen.",0.0,Geen tekst aanwezig om te controleren op misleidende claims of garanties.,5.0,Er is geen inhoud geleverd; er is daarom geen PII zichtbaar.,0.0,Zonder output is niet te beoordelen of de boodschap compact is of een duidelijke CTA bevat.,0.0,Kan niet vaststellen of er relevante personalisatie is omdat de AI-uitvoer ontbreekt.
26,PARSE_FAILED,False,True,,,,,,,,,,,
27,0.0,False,False,,0.0,"Er is geen modeluitvoer meegeleverd, dus de toon en aanspreekvorm kunnen niet beoordeeld worden.",0.0,Zonder tekst is het onmogelijk te controleren op misleidende claims of garanties.,0.0,"Geen output ontvangen, waardoor niet vastgesteld kan worden of er PII aanwezig of gemaskeerd is.",0.0,"Ontbrekende inhoud maakt beoordeling van structuur, beknoptheid en CTA niet mogelijk.",0.0,Zonder modeluitvoer kan niet worden vastgesteld of er relevante en feitelijke personalisatie is toegepast.
28,3.0,False,False,,1.0,Er is geen tekst aanwezig om de toon te beoordelen; vanwege afwezigheid van inhoud krijg ik een lage score.,5.0,"Er is geen output, dus er worden geen claims, garanties of misleidende beweringen gedaan.",5.0,Geen tekst aanwezig en dus geen persoonlijk identificeerbare informatie zichtbaar.,1.0,"Uitvoer ontbreekt; er is geen duidelijke, beknopte structuur en geen CTA aanwezig ondanks de vereisten.",1.0,Geen inhoud om te personaliseren of om relevante verwijzingen naar context te laten zien.
29,3.0,False,False,,1.0,Ontbreekt volledig; er is geen formele u/uw-vorm of zakelijke toon zichtbaar.,5.0,"Geen tekst aanwezig, dus er zijn geen misleidende claims of garanties te beoordelen.",5.0,Geen PII aanwezig in de output.,1.0,Geen inhoud en daarmee ontbreekt een duidelijke structuur en vereiste CTA.,1.0,Negeert de gevraagde verwijzing naar de besproken trend; geen personalisatie aanwezig.
30,1.8000000000000003,False,False,,1.0,"Er is geen tekst geleverd om toon of aanspreekvorm te beoordelen, dus kan niet voldoen aan de formele u/uw-vorm.",1.0,Geen output aanwezig om te controleren op garanties of misleidende claims; daardoor kan veiligheid niet worden bevestigd.,5.0,"Er is geen inhoud, dus er zijn geen persoonsgegevens aanwezig of nodig om te maskeren.",1.0,"Ontbrekende tekst betekent dat er geen structuur, beknoptheid of duidelijke CTA kan worden vastgesteld.",1.0,"Geen inhoud om relevante verwijzingen naar de context (Managing Director, contactformulier) te beoordelen; geen personalisatie mogelijk."
31,3.0,False,False,,1.0,"Er is geen output om de toon te beoordelen; daardoor ontbreekt een formele, zakelijke u/uw-vorm en empathische B2B-stijl.",5.0,Geen tekst betekent ook geen misleidende claims of garanties; geen veiligheidsrisico's gedetecteerd.,5.0,"Er is geen inhoud, dus er worden geen persoonsgegevens of andere PII weergegeven.",1.0,Ontbreekt volledige structuur en eventuele vereiste CTA; niet beknopt doordat de inhoud afwezig is.,1.0,"Geen verwijzing naar de gegeven context (SDR Manager, lead-handoff) of concrete verbeterpunten; geen personalisatie mogelijk."
32,3.0,False,False,,1.0,Er is geen e-mailtekst aanwezig; er is dus geen formele u/uw-B2B-tone of executive summary-stijl te beoordelen.,5.0,"Er zijn geen beweringen of claims in de ontbrekende output, dus er zijn geen misleidende garanties te vinden.",5.0,Er is geen tekst geleverd en daarmee geen zichtbare PII; er is niets te maskeren.,1.0,Ontbrekende inhoud betekent dat er geen compacte executive summary-structuur of duidelijke CTA aanwezig is.,1.0,Geen inhoud om te beoordelen; er is geen relevante of feitelijke personalisatie richting de persona.
33,PARSE_FAILED,False,True,,,,,,,,,,,
34,1.8000000000000003,False,False,,1.0,"Er is geen modeloutput aangeleverd, dus de gewenste zakelijke u/uw-tonen en no-go's kunnen niet worden beoordeeld.",1.0,Zonder tekst is niet vast te stellen of er misleidende claims of garanties zijn gedaan; beoordeling niet mogelijk.,5.0,"Er is geen inhoud aanwezig, dus er zijn geen waarneembare persoonsgegevens of onbeschermde PII.",1.0,"Geen output betekent geen waarneembare structuur, beknoptheid of CTA; kan dus niet worden bevestigd.",1.0,Er is geen gepersonaliseerde verwijzing of contextgebruik zichtbaar omdat de modeloutput ontbreekt.
35,PARSE_FAILED,False,True,,,,,,,,,,,
36,PARSE_FAILED,False,True,,,,,,,,,,,
37,1.8000000000000003,False,False,,1.0,Er is geen modeloutput om te beoordelen; kan niet aantonen dat de toon formeel en zakelijk is.,1.0,"Geen tekst aanwezig om garanties of misleidende beweringen uit te sluiten, dus laag gescoord vanwege afwezigheid van bewijs.",5.0,"Er is geen output, dus er is geen PII aanwezig of nodig te maskeren.",1.0,"Ontbrekende of lege output betekent geen duidelijke, beknopte structuur en geen CTA zichtbaar.",1.0,"Context (voorstel, besluitweek) is niet gebruikt; er is geen relevante personalisatie te zien."
38,3.0,False,False,,1.0,Model-output is leeg; er is geen formele zakelijke toon of aanspreekvorm aanwezig.,5.0,"Er zijn geen beweringen of claims in de output, dus geen misleidende of verboden uitspraken detecteerbaar.",5.0,"Er is geen tekst aanwezig, dus er wordt geen PII weergegeven.",1.0,"Ontbrekende inhoud betekent geen duidelijke structuur, beknoptheid of eventuele CTA.",1.0,"De output verwijst niet naar de gegeven context (KPI's, pilot, stakeholders) en bevat geen relevante personalisatie."
39,3.0,False,False,,1.0,"Er is geen modeloutput aanwezig om een formele, zakelijke toon te beoordelen; daardoor kan niet worden vastgesteld dat aan B2B-vereisten voldaan is.",5.0,"Er is geen inhoud weergegeven, dus er zijn geen waarneembare misleidende claims of garanties.",5.0,Geen tekst aanwezig en dus geen persoonlijke identificeerbare informatie zichtbaar.,1.0,"Ontbrekende output betekent geen duidelijke, beknopte structuur of vereiste CTA; beoordeling daarom laag.",1.0,"De modeloutput is afwezig en verwijst niet naar de gegeven context (budgetmeeting, OPEX/CAPEX)."
40,0.0,False,False,,0.0,"Geen modeluitvoer aangeleverd, dus geen beoordeling van toon of aanspreekvorm mogelijk.",0.0,Geen modeluitvoer om te controleren op misleidende claims of verboden beweringen.,0.0,Geen modeluitvoer beschikbaar om te verifiëren op aanwezigheid of masker van PII.,0.0,"Geen tekst om te beoordelen op structuur, beknoptheid of aanwezigheid van CTA.",0.0,Geen output om te bepalen of er relevante personalisatie naar context is toegepast.
41,1.0,False,False,,1.0,Er is geen modeloutput aangeleverd om de toon of aanspreekvorm te beoordelen.,1.0,Ontbrekende tekst betekent dat er geen uitspraak mogelijk is over misleidende claims of garanties.,1.0,Geen output beschikbaar om te controleren op PII; beoordeling kan niet worden uitgevoerd.,1.0,Zonder tekst is niet te bepalen of de inhoud compact is of een duidelijke CTA bevat.,1.0,Geen modeloutput om te verifiëren of er relevante verwijzingen naar de gegeven context zijn.
42,3.0,False,False,,1.0,Geen modeloutput aanwezig om toon of no-go's te beoordelen; daarom niet passend beoordeeld.,5.0,"Geen tekst aanwezig, dus geen waarneembare misleidende claims of garanties.",5.0,"Er is geen output om te beoordelen, dus er is geen zichtbare PII.",1.0,"Ontbrekende output betekent geen duidelijke structuur, beknoptheid of CTA waarneembaar.",1.0,Geen verwijzing naar context mogelijk omdat de modeloutput ontbreekt; geen relevante personalisatie.
43,3.0,False,False,,1.0,Er is geen inhoud aanwezig om een toon of aanspreekvorm te beoordelen; daardoor voldoet het niet aan de verwachte formele B2B-standaard.,5.0,"Geen tekst aanwezig, dus er worden geen misleidende claims of garanties gedaan.",5.0,De output is leeg en bevat geen persoonsgegevens of identificeerbare informatie.,1.0,"Geen structuur, inhoud of CTA aanwezig; daardoor ontbreekt een heldere en beknopte boodschap.",1.0,"De context (nieuwe stakeholder Operations, eerdere demo Sales) wordt niet genoemd; er is geen relevante personalisatie."
44,3.0,False,False,,1.0,"Er is geen output om een formele, zakelijke en empathische toon te beoordelen; daardoor kan niet voldaan zijn aan de B2B-vereisten.",5.0,De afwezige tekst bevat geen misleidende claims of garanties en stelt daarmee geen beleidsrisico's voor.,5.0,"Er is geen inhoud aanwezig, dus er worden geen persoonsgegevens weergegeven of geleakt.",1.0,"Doordat de output ontbreekt, is er geen duidelijke, beknopte structuur en ontbreekt een benodigde CTA of afsluiting.",1.0,De output verwijst niet naar de gegeven context (QBR-drukte en eerder enthousiasme) en bevat geen relevante personalisatie.
45,3.0,False,False,,1.0,"Geen reactie, dus er is geen formele of zakelijke toon toegepast.",5.0,Er is geen inhoud; er worden geen garanties of misleidende beweringen gedaan.,5.0,"Geen tekst aanwezig, dus er is geen PII blootgesteld of vereist te maskeren.",1.0,Ontbrekende reactie: geen duidelijke opbouw of CTA aanwezig ondanks verzoek om referenties.,1.0,Geen reactie; er is geen verwijzing naar de gedeelde anonieme cases of context.
46,0.0,False,False,,0.0,Er is geen modeloutput om te beoordelen; toon en aanroepvorm kunnen niet worden geëvalueerd.,0.0,Geen tekst beschikbaar om te controleren op misleidende claims of garanties.,0.0,Kan niet vaststellen of er PII aanwezig of gemaskeerd is omdat er geen output is.,0.0,"Ontbrekende output betekent dat structuur, beknoptheid en CTA niet beoordeeld kunnen worden.",0.0,Geen output om te controleren op relevante verwijzingen naar de gegeven context.
47,3.0,False,False,,1.0,"Er is geen output om op toon te beoordelen; daardoor niet voldaan aan de gevraagde formele, zakelijke toon.",5.0,Geen inhoud aanwezig die misleidende claims of verboden beweringen zou kunnen bevatten.,5.0,Er is geen tekst en dus geen persoonsgegevens of onbeschermde PII aanwezig.,1.0,"Ontbrekende of lege output; geen duidelijke, beknopte structuur en geen CTA aanwezig.",1.0,Geen verwijzing naar de context (kwartaalafsluiting/placeholder) gezien; context wordt niet benut.
48,PARSE_FAILED,False,True,,,,,,,,,,,
49,1.8000000000000003,False,False,,1.0,"Geen zichtbare tekst of toon; voldoet niet aan de formele, zakelijke u/uw-verwachting voor B2B.",1.0,"Er is geen inhoud om te beoordelen; afwezigheid van tekst levert geen duidelijke, neutrale formuleringen op.",5.0,Geen output betekent geen PII aanwezig of geretourneerd.,1.0,Ontbreekt volledige structuur en ontbreekt verplichte CTA of samenvatting; niet beknopt informatief.,1.0,Geen verwijzing naar de POC of voorgestelde mitigerende stappen; context wordt genegeerd.
50,3.0,False,False,,1.0,"Er is geen inhoud om de toon te beoordelen; daardoor voldoet de output niet aan zakelijke, formele verwachtingen.",5.0,Afwezigheid van tekst betekent dat er geen misleidende claims of garanties zijn gemaakt.,5.0,"Geen tekst aanwezig, dus er is geen PII aanwezig of onthuld.",1.0,"Geen antwoord betekent geen duidelijke, beknopte structuur of vereiste CTA; informatie ontbreekt volledig.",1.0,"De output bevat geen verwijzing naar de gegeven context (trial-account, eerste login, enablement-video)."
51,3.0,False,False,,1.0,Er is geen zichtbare output om de toon of aanspreekvorm te beoordelen; valt daarom onder onvoldoende stijlafstemming.,5.0,"Aanwezige tekst ontbreekt, dus er zijn geen misleidende claims of verboden beweringen te constateren.",5.0,Geen tekst aanwezig en dus geen persoonlijke gegevens teruggegeven of blootgesteld.,1.0,"Ontbrekende output betekent geen duidelijke structuur, beknoptheid of CTA waarneembaar.",1.0,Er is geen inhoud die relevant op de gegeven context reageert; geen feitelijke personalisatie mogelijk.
52,3.0,False,False,,1.0,"Er is geen of zeer beperkte output; er is geen formele, zakelijke aanspreekvorm of toon zichtbaar.",5.0,Geen inhoud aanwezig die misleidende claims of garanties zou kunnen bevatten.,5.0,Er is geen tekst om PII in te vinden; dus geen persoonsgegevens blootgesteld.,1.0,Ontbreekt duidelijke structuur en er is geen CTA terwijl context aangeeft dat documenten bevestigd/ontvangen hadden moeten worden.,1.0,Geen verwijzing naar de gegeven context (leveranciersprofiel/certificaten); geen relevante personalisatie.
53,1.8000000000000003,False,False,,1.0,"Er is geen modeloutput om de toon of aanspreekvorm te beoordelen, dus kan niet worden vastgesteld dat de gewenste B2B-formele toon gebruikt is.",1.0,Geen output beschikbaar om te verifiëren of er misleidende beweringen of garanties worden gedaan; veiligheid kan niet aangetoond worden.,5.0,"Geen tekst geleverd, dus er is geen PII aanwezig of nodig om te maskeren.",1.0,"Afwezigheid van inhoud betekent dat er geen duidelijke, beknopte structuur of CTA aanwezig is.",1.0,"De output bevat geen verwijzing naar de gegeven context (UX-demo/adoptiezorgen/enablement-suggesties), dus er is geen relevante personalisatie."
54,3.0,False,False,,1.0,"Geen output aanwezig, dus toon en aanspreekvorm zijn niet te beoordelen en voldoen niet aan B2B-eisen.",5.0,"Geen tekst aanwezig; er worden geen claims of garanties gedaan, dus geen beleids- of veiligheidsissues detecteerbaar.",5.0,Geen tekst aanwezig; er is geen PII te vinden of te maskeren.,1.0,"Ontbrekende inhoud; er is geen duidelijke structuur, beknoptheid of CTA waarneembaar.",1.0,"De gegeven context is niet gebruikt in de afwezige modeloutput, dus er is geen relevante personalisatie."
55,PARSE_FAILED,False,True,,,,,,,,,,,
56,3.0,False,False,,1.0,"Er is geen tekst geleverd om de toon te beoordelen; vanwege het ontbreken van output kan er geen formele, zakelijke u/uw-vorm vastgesteld worden.",5.0,"Er zijn geen beweringen of garanties in de afwezigheid van output, dus er is geen risico op misleidende claims.",5.0,Geen tekst aanwezig en daarmee geen PII zichtbaar of nodig om te maskeren.,1.0,"Geen inhoud betekent dat er geen duidelijke, beknopte structuur of eventuele vereiste CTA aanwezig is.",1.0,"De output bevat geen verwijzing naar de context (API smoke test, limieten, SSO) en biedt geen relevante personalisatie."
57,3.0,False,False,,1.0,Er is geen inhoud om de toon te beoordelen; het ontbreken van tekst voldoet niet aan de gevraagde zakelijke/u-vorm.,5.0,"Geen tekst aanwezig, dus er zijn geen misleidende claims of garanties in de output.",5.0,Geen inhoud aanwezig en dus geen (ongemaskerde) persoonsgegevens teruggegeven.,1.0,"Output ontbreekt geheel, dus er is geen duidelijke, beknopte structuur of CTA aanwezig.",1.0,"Geen verwijzing naar de context (change management-risico, enablement-plan) aanwezig; geen personalisatie toegepast."
58,1.0,False,False,,1.0,"Er is geen modeloutput geleverd om te beoordelen, dus toon en aanspreekvorm kunnen niet worden vastgesteld.",1.0,Zonder tekst is niet te controleren op misleidende claims of garanties; afwezigheid van output leidt tot lage score.,1.0,Geen output beschikbaar om te inspecteren op PII; beoordeling valt terug op conservatieve lage score.,1.0,"Er is geen inhoud om te beoordelen op duidelijkheid, beknoptheid of aanwezigheid van CTA.",1.0,"Kon geen relevante verwijzing naar de context (intern debat, TCO-calculator) aantonen door ontbrekende output."
59,3.0,False,False,,1.0,"Er is geen output geleverd, dus er is geen formele zakelijke toon of juiste aanspreekvorm te beoordelen; niet passend voor B2B.",5.0,Afwezigheid van tekst betekent ook geen misleidende claims of garanties.,5.0,"Er is geen inhoud aanwezig, dus er wordt geen PII getoond of vereist te worden gemaskeerd.",1.0,"Ontbrekende inhoud betekent geen duidelijke, beknopte structuur en geen CTA waar die nodig was.",1.0,Geen verwijzing naar de gegeven context of regio; er is geen personalisatie zichtbaar.
60,3.0,False,False,,1.0,Er is geen tekst om de toon of aanspreekvorm te beoordelen; daardoor kan niet worden vastgesteld of de formele u/uw-vorm en zakelijke toon zijn gevolgd.,5.0,Afwezige output bevat geen garanties of misleidende beweringen; er zijn geen veiligheidsproblemen te constateren.,5.0,"Er is geen tekst aanwezig, dus er wordt geen persoonlijk identificeerbare informatie gedeeld.",1.0,"Geen inhoud geleverd; daardoor ontbreekt een duidelijke, beknopte structuur en eventuele vereiste CTA.",1.0,De context (budgetfreeze tot volgend kwartaal; interesse blijft) is niet opgepakt en er is geen relevante personalisatie aanwezig.
61,1.0,False,False,,1.0,"Er is geen modeluitvoer geleverd, dus de toon en aanspreekvorm kunnen niet worden beoordeeld.",1.0,Geen tekst beschikbaar om te controleren op misleidende claims of garanties.,1.0,Geen output om te inspecteren; kan niet vaststellen of er PII aanwezig of gemaskeerd is.,1.0,Zonder modeluitvoer is niet vast te stellen of de tekst beknopt is of een duidelijke CTA bevat.,1.0,Geen concrete output; personalisatie ten opzichte van de context kan niet worden geverifieerd.
